compang,dili,position,pay,level
['河南好大夫教育科技有限公司'],['郑州'],招生老师,6k-8k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],课程顾问,6k-8k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学助教,4k-6k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学实习讲师,6k-8k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学技能助教,4k-6k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学助教接收应届研究生兼职,4k-6k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学讲师,8k-10k,硕士生毕业
['河南好大夫教育科技有限公司'],['郑州'],销售代表/业务员/销售助理,6k-8k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学助教欢迎应届研究生,4k-6k,本科生毕业
['河南好大夫教育科技有限公司'],['焦作'],销售代表/业务员/销售助理,6k-8k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],市场招生,8k-10k,专科生毕业
['河南天之恒信息科技有限公司'],['郑州'],嵌入式开发工程师,10k-15k,本科生毕业
['河南天之恒信息科技有限公司'],['郑州'],自动化工程师,6k-8k,本科生毕业
['河南天之恒信息科技有限公司'],['郑州'],嵌入式开发工程师,8k-10k,本科生毕业
['河南天之恒信息科技有限公司'],['郑州'],硬件工程师,6k-8k,本科生毕业
['河南天之恒信息科技有限公司'],['郑州'],大数据/人工智能工程师,8k-10k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],行政专员/助理,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],人力资源专员/人事助理,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],行政专员/助理,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],出纳,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],融资专员,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],测量员,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],资料员,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],造价员,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],商务合约岗,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],招采岗,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],造价工程师,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],给排水工程师,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],暖通工程师,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],电气工程师（建筑）,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],市场专员/助理,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],安全员,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],施工员,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],实验员,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],模具岗,4k-6k,本科生毕业
['中民筑友建设科技集团有限公司河南分公司'],['郑州'],品质岗,4k-6k,本科生毕业
['浙江舜宇光学有限公司'],['宁波'],模具维护调配技术员,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],设备保养技术员,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],模具加工技术员,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],模仁加工技术员,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],生产管理IE技术员,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],设备机构技术员,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],成型设备技术员,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],机械工艺/制程工程师,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],自动化工程师,6k-8k,专科生毕业
['浙江舜宇光学有限公司'],['宁波'],电气工程师（电子）,6k-8k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],VOLTE优化工程师,4k-6k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],人力资源专员/人事助理,4k-6k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],网络优化实习生,4k-6k,专科生毕业
['河南途鑫信息技术有限公司'],['北京'],LTE网优工程师,6k-8k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],第五代移动通信网络优化工程师,6k-8k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],招聘专员,4k-6k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],移动通信5G/4G网优工程师,6k-8k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],人力资源专员/人事助理,4k-6k,专科生毕业
['河南途鑫信息技术有限公司'],['上海'],移动通信4G/5G测试工程师,6k-8k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],软件测试工程师,4k-6k,专科生毕业
['河南途鑫信息技术有限公司'],['郑州'],5G网络测试工程师,4k-6k,专科生毕业
['河南君和实业股份有限公司'],['郑州'],医疗器械生产/质量管理,4k-6k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],产品讲师,2k-4k,本科生毕业
['河南君和实业股份有限公司'],['郑州'],经理助理/销售助理,4k-6k,本科生毕业
