dili,compang,position
['郑州'],['新希望六和股份有限公司'],饲养员
['郑州'],['新希望六和股份有限公司'],兽医/宠物医生
['石家庄'],['新希望六和股份有限公司'],会计
['郑州'],['新希望六和股份有限公司'],营销专员/助理
['郑州'],['新希望六和股份有限公司'],生产主管/督导/组长
['石家庄'],['新希望六和股份有限公司'],人力资源专员/人事助理
['郑州'],['新希望六和股份有限公司'],动物产房技术员
['郑州'],['新希望六和股份有限公司'],朝阳计划
['郑州'],['新希望六和股份有限公司'],希计划硕士
['郑州'],['新希望六和股份有限公司'],希计划本科
['郑州'],['新希望六和股份有限公司'],食品品管化验生产储备
['郑州'],['新希望六和股份有限公司'],销售员/市场开发员
['郑州'],['新希望六和股份有限公司'],种植技术员
['郑州'],['新希望六和股份有限公司'],养殖技术人员
['郑州'],['新希望六和股份有限公司'],人力资源专员/人事助理
['三门峡'],['河南中车重型装备有限公司'],机械工艺/制程工程师
['三门峡'],['河南中车重型装备有限公司'],机械设计师
['三门峡'],['河南中车重型装备有限公司'],机械设计师
['三门峡'],['河南中车重型装备有限公司'],机械设计师
['郑州'],['河南多特通信科技有限公司'],4G/5G初中级网络优化工程师
['郑州'],['河南多特通信科技有限公司'],通信设计工程师
['深圳'],['河南多特通信科技有限公司'],通信监理
['郑州'],['河南多特通信科技有限公司'],5G网络优化工程师
['郑州'],['河南多特通信科技有限公司'],5G督导工程师
['郑州'],['河南好大夫教育科技有限公司'],英语讲师
['郑州'],['河南好大夫教育科技有限公司'],市场招生人员
['郑州'],['河南好大夫教育科技有限公司'],外语/小语种培训师
['郑州'],['河南好大夫教育科技有限公司'],医学实习讲师
['郑州'],['河南好大夫教育科技有限公司'],课程顾问
['郑州'],['河南好大夫教育科技有限公司'],医学助教可兼职可全职
['郑州'],['河南好大夫教育科技有限公司'],招聘专员/助理
['郑州'],['河南好大夫教育科技有限公司'],医学班主任
['郑州'],['河南好大夫教育科技有限公司'],招生老师
['郑州'],['河南好大夫教育科技有限公司'],课程顾问
['郑州'],['河南好大夫教育科技有限公司'],医学助教
['郑州'],['河南好大夫教育科技有限公司'],医学实习讲师
['郑州'],['河南好大夫教育科技有限公司'],医学技能助教
['郑州'],['河南好大夫教育科技有限公司'],医学助教接收应届研究生兼职
['郑州'],['河南好大夫教育科技有限公司'],医学讲师
['郑州'],['河南好大夫教育科技有限公司'],销售代表/业务员/销售助理
['郑州'],['河南好大夫教育科技有限公司'],医学助教欢迎应届研究生
['焦作'],['河南好大夫教育科技有限公司'],销售代表/业务员/销售助理
['郑州'],['河南好大夫教育科技有限公司'],市场招生
['郑州'],['河南天之恒信息科技有限公司'],嵌入式开发工程师
['郑州'],['河南天之恒信息科技有限公司'],自动化工程师
['郑州'],['河南天之恒信息科技有限公司'],嵌入式开发工程师
['郑州'],['河南天之恒信息科技有限公司'],硬件工程师
['郑州'],['河南天之恒信息科技有限公司'],大数据/人工智能工程师
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],行政专员/助理
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],人力资源专员/人事助理
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],行政专员/助理
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],出纳
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],融资专员
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],测量员
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],资料员
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],造价员
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],商务合约岗
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],招采岗
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],造价工程师
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],给排水工程师
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],暖通工程师
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],电气工程师（建筑）
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],市场专员/助理
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],安全员
['郑州'],['中民筑友建设科技集团有限公司河南分公司'],施工员
